firstname,lastname,avg_rating
Justine,Karduck,4
Allison,Scott,5
Ting,Lu,2.3333
Megan,Bolander,5
Daniel,Work,4
Mimi,Nguyen,3.5
John,Vasquez,3.2
Bruce,Smith,4
Chengxiang,Zhai,5
May,Berenbaum,5
Johnell,Bentz,4.5833
Denise,Cummins,4
James,Lisy,3
Yi-Shuan,Chen,5
Steven,Zusman,5
Amy,Norgard,5
Karen,Roybal,5
Anil,Hirani,3
David,Strauser,1
Ryan,Tomasiewicz,4
Joseph,Finnerty,2.3333
Steven,Lumetta,4.75
Dora,Valkanova,3
Werner,Baer,3.6739
John,Kindt,3.7
Israel,E.,4
Sarah,Haas,5
Megan,Haselschwerdt,5
Jessie,Johnson,5
Kent,Ono,4
James,Jackson,2
Margaret,Stanny,5
Daniel,Colson,1
Rachel,Mitchell,2.6667
Daniel,Holder,5
Ruth,Brown,2
Kelly,Tappenden,5
Olgica,Milenkovic,4
Maria,Spies,3
Thomas,Gambill,3.5909
Jacob,Hall,2
Amy,Nicely,2.6667
Engelbrecht-Wiggans,,3
Thomas,Hummel,3.7344
Carl,Malmgren,2.5
Donna,Buchanan,3.2
Ashleigh,Jones,4
Brian,Walters,4
Mary,Cottingham,4
Pramod,Viswanath,5
Rebecca,Stumpf,5
Noel,Chang,4.5
Leslie,Looney,4.75
M.,Spies,2.6
Isaac,DiIanni,2.5
Ottlik,,3
Katherine,Wahl,5
Marsha,Woodbury,4
Witat,Fakcharoenphol,2.5
Amita,Sinha,2.5
Mariana,Sohn,5
Peter,Goldsmith,3.75
Donald,Hardin,2.75
Marco,Rocha,3
Lisa,Oliverio,5
Margaret,Njeru,4.2857
Julia,Smith,3
Michele,Koven,5
Jibo,He,3
Xiaoling,Chen,4
Liang,Liu,5
Alison,Lanski,4.1667
Lane,Martin,3.5
Zachary,Carrettin,5
Bryan,Mount,3
John,Walsh,4.6667
Adam,Poetzel,5
Sylvia,Enyart,3
Zack,Browning,3.5
Ruopeng,An,5
John,Ramsbottom,3.5
Wade,Fagen,2.5
Martinez-Quiroga,,5
Megan,Kosovski,5
Alice,Novak,3.5714
Patricia,Morey,2
Timothy,Green,4
Lisa,Crane,4.5
Diana,Grigsby,2
Julia,Hockenmaier,3
Paul,Duncum,5
Lina,Deng,5
Lawrence,Hamlin,3.8
Maria,Anderson,3
Justin,Rhodes,3
Weidenbenner,,3.6667
Jeremy,Rouse,5
Vyron,Vellis,3
Gaston,Philipps,4
Matthew,Minicucci,5
Merton,Lee,3
Steven,Wagner,3
Hassan,Arvin-Rad,2.7333
Timothy,Trick,3.4
Todd,Cole,4.2
Wen-Tso,Liu,1.5
Sandra,Lee,5
Deschenes,Pradet,5
Alok,Tiwari,4
Joe,Bradley,5
Jianhua,Zhang,3.5
Robert,Haber,3
Sean,Mullen,4
David,Chih,5
Ryan,Greene,4.5
Ryan,Bailey,4
Milan,Svolik,4.5
Hyun,Kong,3.4
Lynn,Morris,1
Jason,Sneed,3
Harry,Dankowicz,5
Christopher,Schmitz,5
Sara,McWhorter,2
Jonathan,Beever,3.5
Chera,LaForge,5
Florin,Boca,1.6
Murugesu,Sivapalan,2.1667
Mark,Berchman,4
Narayana,Aluru,3
Eric,Meyer,1
Joseph,Squier,5
Jeffrey,Frame,3.7647
Vyacheslav,Fos,3
Anthony,Coats,5
Robin,Estabrook,4
Lauren,VanNatta,3
Felipe,Cardoso,5
Timothy,Peck,5
Irene,Small,4.5
Jayme,Liggett,5
Bavwidinsi,Bawawana,3
Sharon,Morrisette,4
Richard,Gates,3.3333
Roy,Axford,5
Maria,Garzaran,2.2
Anja,Bankovic,1
John,Abelson,4
Terri,Weissman,2.25
Milton,Feng,3.6667
Thomas,Costello,4.5
Jung,Lee,4
Glenn,Roisman,4.5
Jerome,Packard,4.5
Tanya,Kozlowski,5
Tangul,Basar,3.8333
Ozlem,Arikan,2
Neil,Kelleher,2
Yinxiao,Huang,2.8333
Douglas,Olenik,2
Austin,Basye,5
Vernon,Jones,4
Eileen,Lagman,5
Charles,Gammie,3
Yih-Chun,Hu,3.2143
Katherine,Graham,5
In-Koo,Cho,1
Joseph,Cheng,1
Daniel,Wasserman,3
Steven,Hill,3.5
Dana,Dlott,3
Prasanta,Kalita,5
Patryk,Szuta,4
Scott,Olson,3.3333
Philip,Hillmer,4.4
Shannan,Stewart,4.375
Lauren,Weiner,5
Charles,Miller,2.5
Cascajar-Montero,,4.5
Lena,Hann,4
Igor,Nikolaev,3.3333
Daniel,Walsh,4
Ronald,Kovatch,4
Anton,Malkin,1
Scott,Carney,4
Jeremy,Wear,5
John,Colombo,5
John,Alsterda,5
Jon,Solomon,4.6786
Harry,Liebersohn,4
Surya,Vanka,4
Eileen,Herrstrom,3.2857
Stewart,Hicks,2.5
Jonathan,Ebel,2.8571
Brendan,Harley,4.5
Raul,Mora,4
Kristina,Riedel,1
Roya,Khatiblou,5
Daniel,Simons,4.5
Ellen,Moodie,3
Leslie,Gasser,4
Wei,Zhu,4
Jennifer,Nelson,4
Urvi,Neelakantan,5
Patricia,Gill,3.75
Bruce,Carpenter,3.75
Nicholas,Paulson,4.8
Min-Feng,Yu,4.3333
Janice,Juraska,2.4
David,Wright,5
Laura,Chinchilla,5
Kevin,Erickson,4
Gwendolen,Rudy,3.5
Kyle,Williams,4.3333
Xuming,He,5
Jessica,Wong,3
John,Popovics,4
Benjamin,Goodney,3
Lauren,Hansen,3
Mary,Hays,3.5
Aaron,Harper,5
Philip,Miller,5
Carla,Caceres,3
Poshek,Fu,3.5
Narendra,Ahuja,3
James,Brennan,4.5
Itxaso,Rodriguez,5
Laura,Reynolds,4
Lindsay,Sperling,3.5714
Jeffrey,Dawson,4
Vishal,Sachdev,3
Michael,Loui,3.5
Nicholas,DeSanto,5
Robert,Muncaster,2.3
Susan,Ahmed,3
Caetano-Anolles,,4.5
Ditlev,Monrad,2.4545
Joseph,Barich,5
Jesse,Jones,4.3333
Matthew,Ando,4
Matthew,Niermann,4.3333
Ross,Putman,5
Ralph,Husby,5
Donald,Davis,3.8889
Philipp,Hieronymi,4
Karen,Rudolph,5
Amalia,Pursell,5
Francis,Machungo,4
Erin,Chandler,3
Tony,Liss,4
Curtis,Jacobs,3.6667
Luis,Herrera,5
Maria,Rubio-Campos,3
Salome,Tvalodze,5
Stephen,Runkle,4.5
Scott,Morris,4.6667
John,Low,5
Darin,Eastburn,3.5
Stefan,Krasa,5
Laura,Greene,4.5
Carol,Augspurger,3.125
Spencer,Snow,3
Peter,Fritzsche,4
Delmar,Rhodes,2
Suzanne,Lee,3
Julia,Saville,3.25
Dalia,Chowdhury,5
Katrina,Olson,2.4
Simona,Buetti,2
Paul,Peterson,3
Stephanie,Wall,4
Peter,Davis,5
Nathan,Raybeck,3
Renata,Fuchs,5
Faranak,Miraftab,3
Sundiata,Cha-Jua,2.5
Tongfei,Wang,5
Michael,Kral,5
Heather,Zike,2
Luthey-Schulten,,2.5
Pierre,Albin,2
Kostyantyn,Slutskyy,3.5
Juan,Loor,3.8333
Laura,Hollis,4.25
Emily,Ewers,2
Robert,Wickesberg,5
Brian,Phelan,4
Anna,Escobar,3.8
Aric,Rindfleisch,4
Debojoy,Chanda,5
Jonathan,Tomkin,4.5
Claire,Brady,4
Pablo,Reyes,5
Alexander,Lo,4.6
Ghamari-Tabrizi,,2.8571
Jose,Cheibub,3.3333
William,Berry,4
Matthew,Gilbert,3.3333
Alison,Anders,3.5
Cynthia,Fisher,3.3333
Natalya,Khokholova,5
Scott,Walter,4
Yoon,Pak,3
Lila,Vodkin,4
Michael,Sacco,5
Tania,Coambs,5
Liliana,Gonzalez,5
Timothy,Marty,3.6667
Jie,Yang,1
Gregory,MacDougall,2
Orrin,Sherwood,5
Jerald,Shelato,4
Amy,Fischer-Brown,2.75
Jensen,Beach,5
Michael,Preis,2.6316
Shawn,Ballard,1
Jeffrey,Kansler,3.5
Patricia,Shapley,1.8333
Tyler,Fagan,5
Jose,Schutt-Aine,3
Jianan,Xu,4.6667
Koloutsou-Vakakis,,4
Ann,Reisner,3
Timothy,Laar,4
Dan,Shao,3
George,Bell,4.3333
Robert,Tierney,4
Alexandra,Cavallaro,2.5
Lisa,Cacho,4.5
Austin,Lee-Richerson,5
Joel,Versypt,4
Jeffrey,Spencer,4.5
Timothy,Johnson,5
Jonathan,Greenberg,4
Gaines,Hall,3
Kevin,Chang,4.5
Yann,Chemla,4.3333
David,Gooler,2.8571
Leon,Frizzell,3.2
Erhan,Kudeki,4.75
Daniel,Jumper,5
Lauren,Collins,5
Jasmina,Savic,5
Jeffrey,Magee,4.3333
Aaron,Hill,3
Esther,Dettmar,3
Jinwon,Choi,5
Marius,Junge,5
Nancy,Joseph,2
Eric,Hostetter,3
Chen,Yao,3
Esmail,Meisami,3.8571
Jae,Yong,4
Jerrod,Henderson,5
Soo,Kwon,3.6667
Paolo,Gardoni,1.5
Clare,Crowston,3.6
Patricia,Knowles,5
Zaruhi,Sahakyan,2.4545
Colleen,Schultz,3.2564
Douglas,Miller,4
Yiqun,Wang,3
Amy,Ando,3.3333
Mark,Schaedel,4
Synthia,Sydnor,3.6667
Hasegawa-Johnson,,5
Chester,Brown,3.75
Yung-Jui,Yang,4
Gregory,Kelsey,3
Michael,Gioia,5
Linda,Lehovec,4
Benjamin,Clegg,5
Mouschovias,,3
Joseph,Petry,3.9744
Han-Jui,Chen,5
Joe,Harper,4.2727
Tania,Lown-Hecht,5
Russell,Korte,1
William,Hope,5
Sizhu,You,4
Yinghong,Pan,4
Amanda,Zink,4
Cynthia,Johnson,3
Gilberto,Rosas,2.5714
Hendrik,Schulze,4
Armin,Straub,5
Yueh-Mei,Lin,4
Cale,Magnuson,4.3333
Maurice,Meilleur,1
Dana,Kiku,1.8
Sanjay,Patel,4.4
Pritesh,Pandya,2.5
Jorge,Marquez,4
Daniel,Steward,3.75
Shen,Dillon,2.6667
Paul,Ricker,3.6667
Sara,Luttfring,5
Tolga,Tezcan,3
Mohamed,Boubekri,3.3333
Alan,Cobb,3.6667
Mary,Carlton,4.3333
Raymond,Zielinski,3
Brian,Dolber,4
Mor,Gueye,5
David,Rivier,3.6667
Margaret,Kelley,5
Brunet,,4.48
Landrum-Brown,,2
Alison,Reddy,3.7778
Aida,El-Khadra,5
John,Marsh,5
Kristine,Cochran,1
Kirsten,Letofsky,2
Farhad,Malekafzali,2.1667
Lee,Waldrep,3.75
Crespo,Del,5
Samantha,Barrick,4
Asef,Bayat,5
Shelley,Smithson,2
Cornelia,Otnes,3.75
Dan,Roth,5
Jonathan,Freund,2.5
Ghazi,Kalahroudi,3
Patrick,Sullivan,5
Janeen,Johnson,4
Xinyuan,Dai,5
J.,Dutton,4.75
Melanie,Tannenbaum,5
Polly,Middleton,5
Angela,Hurt,4
Kathryn,Oberdeck,2.5
Anupam,Agrawal,5
Rhiannon,Clifton,4
Rachel,Shafer,4.5
Sergei,Ivanov,3
Peter,Wellington,5
Adam,Myers,4
Rebecca,Weber,4
Mindy,Mallory,3
Rohini,Singh,4.5
Michael,Frazier,2
Gary,Crull,4
Aya,Shigeto,5
Christopher,Salnave,4
Sha,Chen,5
John,Hough,4.25
John,Taft,4
Sheldon,Jacobson,4.5
Sarah,Projansky,4.5
George,Bell,4
Ivy,Glennon,2.8333
Robert,Siebrecht,5
Brent,Roberts,3.9
Monica,McDermott,4
Dorothee,Schneider,2.6667
Kirstie,Simson,5
Dusty,Grundmeier,4
Christina,Schultz,4
Mayukh,Khan,3
Wen-Hao,Huang,5
Woo,Cho,5
M.,Brewster,2.3333
Alexander,Smith,5
Andrzej,Wieckowski,4
Laura,Shackelford,4
Summer,Carnett,5
James,Lafave,4
Samuel,Kamin,2
Melissa,Reedy,3.6667
Mathrumandiram,Sivada...,5
Dan,Lior,4
Philippe,Geubelle,3
Napieralski,,5
Jay,Luckritz,5
Moonsub,Shim,4
Kristin,Drogos,5
Thomas,Rudolph,4
Fang-Kai,Jao,4.5
Ronald,Toby,2.2308
Patrick,Brown,3
Shelly,Schmidt,4
David,Lyon,4
Iryna,Sharaievska,3.5
Parthasarathy,,5
Rhanor,Gillette,5
Nikolaos,Vergis,5
Sarah,Hennebohl,4
Richard,Mohr,5
Amanda,Szabo,4
Benjamin,Warlick,4
Chumachenko,,5
Adam,Irish,2.6667
Donald,McFarland,4
Mee,Im,4
Robert,Hornbaker,4
Jeremiah,Bohr,4
Ian,Robertson,3.5
Yanfeng,Ouyang,5
Nathan,Dunfield,4.4444
Stephen,Downing,4
Bruce,Conway,5
Diane,Koenker,5
Matthew,Sabin,4
Joseph,Hutto,5
Stephen,Farrand,2.7273
Julie,Price,5
Joseph,Hinchliffe,1.5
Thomas,Srull,3.7368
James,Wallace,4
Michael,Odom,4.2727
Bethany,Cooper,5
Julie,Larsen,2.6
Catherine,Blake,1
Patricia,Loughran,3
Lynn,Herrmann,1
John,Murphy,3.6667
Igor,Petrik,4
Huseyin,Sehitoglu,3
Sorin,Bangu,3.5714
Naomi,Makins,4.8
Lauren,Denofrio,4
Jessica,Jacobson,4
Ron,Laschever,2
Paula,Poh,4
Monicka,Wielgos,5
Anustup,Basu,4
Maseeh,Moradi,5
Sarah,Brown-Schmidt,4
Angela,Slates,1
Reshmi,Mukherjee,3
Gary,Parker,3
Kiel,Christianson,5
Yvonne,Carey,5
Alejandro,Lugo,1.3333
Michael,Stewart,4.375
Sujith,Vijay,3
Jennifer,Smist,5
Richard,Arnould,5
Rachel,Whitaker,2
Abdelaadim,Bidaoui,3.5
Jan,Erkert,5
Raquel,Goebel,5
Michael,Myers,2.5
Joseph,Robinson,4
Michelle,Perry,5
Robert,Rushing,4.6
Duncan,Keenan-Jones,1
Thomas,Carty,2.6341
Sara,McLafferty,4.5
James,Best,5
Lu,Xu,3.25
Jennifer,Bernhard,5
Meghan,O'Meara,1.5
Isaac,Tubb,3.8571
Tracey,Hickox,4
Dana,Shalash,5
David,Miller,3
Naomi,Rothman,5
Cagdas,Agirdas,3.8
Dustin,Allred,2
Mark,Nelson,4
Greg,McFarquhar,4.3333
Nina,Tarr,5
Kristin,Walters,5
Bassem,Andrawes,2.5
Michael,Andrejasich,1
Johann,Thiel,4
David,Ruzic,5
Joanne,Manaster,5
William,Kinnersley,5
R.,Baber,3
Matthew,Rispoli,3.5
John,Senseney,3.5
Darrell,Kuykendall,4
Tracy,Sulkin,3.875
Vidisha,Vachharajani,3
Douglas,Beck,3
Robert,DeVille,5
Susan,Thomas,5
Ellen,Evans,2
Andrea,Olinger,4
Cinda,Heeren,4.7647
Shobha,Vasudevan,1.8
Ashley,Stinespring,4
Martin,Manalansan,4.5
Andrew,Cuthbertson,4
Richard,Mulvaney,3.25
Jennifer,Shoaff,1.9
Pamela,Shuler,5
Emanuel,Rota,4
David,Meyer,4
Susan,Ahmed,4
Darrel,Kesler,5
Mohamed,Aboukhatwa,4
David,Lange,4
Yi,Lu,3.5
Thomas,Jacobs,3
Michael,Philpott,4.25
Julius,Riles,5
Miles,Efron,4
Timothy,Pauketat,4
Nathaniel,Hirtz,4
Paul,Johnson,5
Joseph,Beverly,2.3333
Elizabeth,Good,2.5
Sean,Karns,4
Kimberly,Shinew,2.6
Scott,Perkins,4.5
Robert,Boyer,5
Alyssa,Martoccio,3
Joseph,Diamond,3
Glenda,Kao,1
Jonathan,Waskan,4.5
Wail,Hassan,4
Adrian,Bruhns,5
Sean,Meyn,1
Robert,Pahre,3
Lippold,Haken,4.1667
Colin,Thorn,4
Vadim,Zharnitsky,2.1667
Neal,Cohen,5
Gary,Xu,4.5
Kiley,Reed,5
Jesse,Beder,4
Rolando,Romero,2
Stephen,Levinson,3
Gunji-Ballsrud,,1
Robert,Averback,2.1667
Brian,Manor,5
Charles,Lawarre,3.3333
Todd,Allee,3.3333
Denka,Kutzarova-Ford,3
Eyamba,Bokamba,3
Jared,Bronski,4.0526
Ramanath,Subramanyam,4
David,Roediger,2
Corinne,Crane,3.5
Scott,Althaus,3
Gerald,Dejong,2.5
Laura,Hill,4.5
Elizabeth,Altiero,5
Aldo,Manfroi,4.7143
Jessica,Greenberg,3
Sadra,Amiri,5
Steve,Granick,2
David,Clark,2.4
Lindsey,Drager,4
Veronika,Sanogo,2
Linda,Larsen,3.5
Joseph,Miller,4.5
Patrick,Maher,2
Mark,Leff,3.5
Robert,Dole,4.3333
Weixin,Tang,2
Bradley,Mehrtens,4.2537
James,Barkley,5
Sylvia,Puente,4.5
Julian,Parrott,5
Ali,Tafti,2
Thomas,Mahle,1
Scott,Wyatt,5
Maksym,Bobrovskyy,5
Jonathan,Livengood,4.5
Yuju,Tu,4.5
Srinivasa,Salapaka,4.5
Jesse,Miller,2
Eugene,Lerman,4
Todd,Coleman,3
Anne,Burkus-Chasson,3.6667
John,Moore,2.5
Clifton,Brown,3.5
Rebecca,Deltoro,4.25
Lisa,Burgoon,5
Soondo,Baek,5
Ioannis,Chasiotis,4
James,Bunch,3
Brian,Jamison,2.5
Li,Li,4.25
Michelle,Nelson,5
Xin,Chen,3
Ali,Abbas,5
Javid,Dizgam,5
Nicholas,Llewellyn,3.6471
Andrew,Singer,4.4
Ryan,Gower,4.5625
Susan,Koshy,3
William,Hammack,4.5
William,Hechler,3.6667
Jean,Lee,3
Greg,Burton,4
K.,Hsia,5
Bobby,Belote,4
Joseph,Grohens,4
Michael,Haney,5
Luis,Rodriguez,3
Jingyu,Huang,4
Lusha,Zhu,5
Nicki,Engeseth,5
J.,Eheart,2
Sarah,Rasmusson,2.5
Yang,Wang,4
Catherine,Murphy,3
Valerie,Rogalla,2
Daniel,Wong,4.3333
Grace,Giorgio,3.5
Matthew,Pontifex,3.5
Jeffrey,Thibert,4
Bruce,Hajek,4
Jose,Alejandro,2
Elizabeth,Crosby,4
Daniel,Sholem,5
Donald,Bullock,3.8
Paul,Braun,4
Tammie,Rubin,3
Yuguo,Chen,3
William,Buttlar,5
Michael,Raycraft,4.6667
Sharon,Donovan,3
Brian,Benson,4
Sasha,Cuerda,4
Jamil,Johnson,5
Jeffrey,Davis,4
Mohammad,Khalil,5
Brian,Quick,4.5
Praveen,Kumar,3.6
Janet,Reis,4
Valerie,O'Brien,5
Richard,Akresh,2
Geralyn,Holley,5
Jaewon,Choi,5
Ashley,Holland,4
Milan,Bagchi,4
Edmund,Sutton,3.5
Stephen,Platt,4
Yael,Massen,3
Craig,Koslofsky,2.1429
Jonathan,Krohn,1
Ali,Toossi,3.5
Andrew,Bauer,5
Natasha,Shrikant,4
James,Slauch,4.6667
Ivanhoe,Favila,1
Cheryl,Cole,3.5
Sena,Durguner,3
Kurt,Kwast,4
Nicole,Allen,1
Andrew,Greenlee,4
Karla,Palma,2.75
Shawn,Gilmore,2
Yang,Liu,1
Steven,Zimmerman,4.4444
Jugo,Martinez,4
Paul,Pollack,5
Lori,Coulter,5
Joshua,Gulley,4.6667
Sankar,Dutta,2.5
Michael,Bilton,4
Ming,Tan,5
Aaron,Benjamin,4
Michael,Evans,4
Adva,Waranyuwat,5
Noreen,Sugrue,4
Chaitanya,Date,2
Alyssa,Madsen,5
James,Leake,3
Sandra,Rodriguez-Zas,4
Mariselle,Melendez,4
Peter,Sheldon,5
Tara,Larrison,3.5
Noah,Bindman,3
Judith,King,1.5
Ozge,Sensoy,5
Eduard-Wilhelm,Kirr,1
Constancio,Arnaldo,4
Stuart,Shapiro,5
Timothy,Stark,5
Anna,Verbuk,5
Antonio,Nunez,4
Mark,Micale,4.4
Joseph,Swenson,4
Charles,Werth,5
Matthew,Wheeler,3
Adrienne,Lo,4
David,Rosch,5
David,Varodayan,5
Andrew,Kerins,3
Craig,Gundersen,4
Jeffrey,Ledebuhr,5
Zijing,He,4
Isabel,Wulf,5
Franklin,Ridgway,5
Matthew,Dye,3.75
Craig,Zilles,4.6667
Robert,Brunner,3
Daniel,Estrada,3
Gary,Olsen,4.5
Radhakrishnan,,5
Jui,Namjoshi,5
Erica,Britt,4
John,Hummel,1
Ercan,Balci,5
Kit,Mak,1
Dorothy,Espelage,5
John,Lenz,1
Kirsten,Hope,4.5
Erin,McQuiston,3
Benjamin,Kern,1
Minkyung,Koo,4.25
Robert,Bauer,2.6667
Stephen,Davenport,5
Robert,Motl,5
S.,Cooper,5
Gary,Gladding,3.5333
Teresa,Finis,4.6667
Helaine,Silverman,4
John,Georgiadis,3
Colin,Flint,3
David,Sussman,5
Jonathan,Marcot,3.6667
Dennis,Readey,3.75
Miho,Young,5
Joshua,Brown,3
Paul,Kwiat,3.8667
Courtney,Flint,4
George,Krueger,4
Alexander,Tumanov,1.875
Jennifer,Romine,4
Youssef,Hashash,3.125
Felipe,Olivarez,1
Alfred,Hubler,5
Mary,Paquette-Abt,4.5
Mark,Moore,3
Ida,Salusky,3
Zackary,Ross,3
David,Zola,5
James,Morrissey,3
Michael,Hirschi,4
Sarah,Albert,4
Lawrence,Angrave,4.8857
Jun,Hong,1
Dana,Rabin,3.3333
Malay,Dey,1
Raul,Santos,3.5
Caroline,Yang,3.6364
Sayan,Mitra,4.1
Eric,Shaffer,4.3333
Dongwoo,Kim,1
Caroline,Tancredy,4
Seonhee,Jeong,4
Jinming,Zhang,3
Heather,Minor,4
Braden,Brinkman,5
Chang,Ham,1
Virginia,France,2
Kuang-Chien,Hsieh,4
Tania,Ionin,4.5
Juan,Andrade,5
Amy,Wagoner,3
Kelly,Bost,5
Farzan,Kazemifar,4
Daniel,Tortorelli,3.3333
Jiawei,Han,4.5
Mirona,Chirienco,5
Peter,Beak,3.3333
Kitwiwattanachai,,1
Charlevoix-Romine,,4
Jonathan,Jarrell,5
Maria,Stasevicius,4.75
Laird,Thompson,4.4286
Mattias,Polborn,3
Anne,Owens,3
Iwan,Duursma,2.5
Navin,Fogla,5
Dov,Weiss,3
Stewart,Berlocher,2.5
Lynnell,Lacy,4.6667
Ripan,Malhi,5
Carrie,Mulvaney,5
Christopher,Duff,2.5
Irene,Zavarsky,5
Surangi,Punyasena,3.25
Julie,Bobitt,4.5
John,Polk,2
Chester,Alwes,3.3333
Lance,Schideman,1
Karen,Quisenberry,5
Leigh,Mingle,4
Edward,Robinson,3
Andrew,Schultz,3.6667
LuAnn,Hansen,4
Lauren,Hetrovicz,4
Harley,Johnson,3.4
Vinayak,Shanbhag,4
Hae,Chung,5
Alexey,Stepanov,4.2632
Antonios,Augoustakis,5
Kelly,Marville,3.24
Rini,Mehta,4
Larry,Fahnestock,4
Monica,Majumdar,2
Gustavo,Gioia,4.4286
Girish,Krishnan,3
Udatta,Palekar,4
Scott,Willenbrock,4.7143
Donghun,Joo,5
Naira,Hovakimyan,1
Martin,Burke,2.5
William,Bernhard,4.5
